IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.164.123,8080,8080,false,NRT,Asia Pacific,Tokyo,77,7.57
152.67.129.86,443,443,true,FRA,Europe,Frankfurt,183,7.57
138.2.29.250,2096,2096,true,NRT,Asia Pacific,Tokyo,95,7.57
89.168.118.41,443,443,true,FRA,Europe,Frankfurt,166,7.57
168.138.211.131,8443,8443,true,LAX,North America,Los Angeles,217,7.57
158.101.146.165,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,7.56
140.238.51.89,2095,2095,false,HKG,Asia Pacific,Hong Kong,188,7.56
141.147.166.189,2086,2086,false,NRT,Asia Pacific,Tokyo,127,7.56
150.230.148.89,443,443,true,FRA,Europe,Frankfurt,186,7.56
158.101.146.160,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,7.56
138.3.212.226,80,80,false,HKG,Asia Pacific,Hong Kong,144,7.56
138.2.13.133,2083,2083,true,SIN,Asia Pacific,Singapore,230,7.55
158.101.145.246,2087,2087,true,SIN,Asia Pacific,Singapore,175,7.55
158.101.155.158,2086,2086,false,NRT,Asia Pacific,Tokyo,79,7.55
140.238.59.255,2087,2087,true,SIN,Asia Pacific,Singapore,211,7.54
131.186.34.11,8080,8080,false,HKG,Asia Pacific,Hong Kong,193,7.54
150.230.201.63,2087,2087,true,NRT,Asia Pacific,Tokyo,127,7.54
132.145.121.247,2082,2082,false,LAX,North America,Los Angeles,181,7.53
132.145.121.242,8080,8080,false,HKG,Asia Pacific,Hong Kong,191,7.52
138.2.24.114,2082,2082,false,HKG,Asia Pacific,Hong Kong,198,7.52
140.238.50.99,2053,2053,true,NRT,Asia Pacific,Tokyo,177,7.52
132.145.114.4,2095,2095,false,HKG,Asia Pacific,Hong Kong,143,7.51
131.186.47.255,2095,2095,false,LAX,North America,Los Angeles,182,7.51
140.238.39.21,8880,8880,false,LAX,North America,Los Angeles,181,7.51
158.101.147.4,80,80,false,LAX,North America,Los Angeles,240,7.51
152.67.129.63,443,443,true,FRA,Europe,Frankfurt,190,7.50
132.145.14.147,443,443,true,FRA,Europe,Frankfurt,174,7.50
138.3.211.101,8080,8080,false,HKG,Asia Pacific,Hong Kong,142,7.49
141.147.111.255,443,443,true,FRA,Europe,Frankfurt,174,7.49
151.145.71.40,2052,2052,false,NRT,Asia Pacific,Tokyo,80,7.49
193.123.32.155,443,443,true,FRA,Europe,Frankfurt,180,7.49
131.186.34.11,80,80,false,SIN,Asia Pacific,Singapore,209,7.49
141.148.228.39,443,443,true,FRA,Europe,Frankfurt,173,7.48
151.145.69.105,2083,2083,true,HKG,Asia Pacific,Hong Kong,139,7.48
138.3.212.226,2083,2083,true,HKG,Asia Pacific,Hong Kong,151,7.48
158.101.155.246,2086,2086,false,LAX,North America,Los Angeles,243,7.47
158.101.152.221,2087,2087,true,HKG,Asia Pacific,Hong Kong,171,7.47
150.230.109.138,2086,2086,false,SIN,Asia Pacific,Singapore,202,7.47
131.186.41.255,2086,2086,false,HKG,Asia Pacific,Hong Kong,142,7.47
138.2.18.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,183,7.47
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,178,7.46
168.138.192.185,2087,2087,true,NRT,Asia Pacific,Tokyo,162,7.46
143.47.177.174,443,443,true,FRA,Europe,Frankfurt,180,7.46
138.2.14.248,2082,2082,false,HKG,Asia Pacific,Hong Kong,141,7.45
138.2.13.200,2095,2095,false,HKG,Asia Pacific,Hong Kong,195,7.45
131.186.46.75,2096,2096,true,NRT,Asia Pacific,Tokyo,110,7.45
138.3.223.50,2053,2053,true,HKG,Asia Pacific,Hong Kong,140,7.45
144.21.53.212,443,443,true,SIN,Asia Pacific,Singapore,186,7.45
140.83.36.42,80,80,false,HKG,Asia Pacific,Hong Kong,195,7.44
140.238.54.164,2096,2096,true,NRT,Asia Pacific,Tokyo,79,7.44
168.138.211.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,186,7.44
150.230.219.168,8080,8080,false,SIN,Asia Pacific,Singapore,159,7.44
140.238.35.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,143,7.44
138.3.210.114,8880,8880,false,SIN,Asia Pacific,Singapore,205,7.44
132.145.54.84,2053,443,true,LHR,Europe,London,173,7.42
131.186.38.135,2053,2053,true,SIN,Asia Pacific,Singapore,195,7.42
141.147.168.159,2086,2086,false,LAX,North America,Los Angeles,232,7.40
150.230.99.173,2095,2095,false,LAX,North America,Los Angeles,241,7.40
132.145.120.115,2086,2086,false,HKG,Asia Pacific,Hong Kong,140,7.40
158.101.140.154,8080,8080,false,NRT,Asia Pacific,Tokyo,121,7.40
150.230.21.48,443,443,true,FRA,Europe,Frankfurt,195,7.40
141.147.175.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,184,7.39
158.101.89.33,8880,8880,false,HKG,Asia Pacific,Hong Kong,138,7.39
192.18.150.176,2087,443,true,YYZ,North America,Toronto,223,7.39
143.47.235.40,443,443,true,FRA,Europe,Frankfurt,174,7.39
131.186.41.255,8443,8443,true,SIN,Asia Pacific,Singapore,246,7.39
151.145.68.166,2052,2052,false,LAX,North America,Los Angeles,180,7.39
151.145.69.174,2082,2082,false,SIN,Asia Pacific,Singapore,200,7.38
150.230.202.132,2096,2096,true,HKG,Asia Pacific,Hong Kong,142,7.38
131.186.38.135,8080,8080,false,HKG,Asia Pacific,Hong Kong,193,7.38
158.101.139.42,2086,2086,false,LAX,North America,Los Angeles,234,7.38
140.83.34.230,2095,2095,false,NRT,Asia Pacific,Tokyo,75,7.37
131.186.41.255,2087,2087,true,HKG,Asia Pacific,Hong Kong,143,7.37
138.2.7.72,2086,2086,false,SIN,Asia Pacific,Singapore,156,7.36
144.24.162.10,443,443,true,FRA,Europe,Frankfurt,187,7.36
